2021-10-20 14:47:35 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:35 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:35 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:35 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:35 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:35 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:35 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:37 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:37 INFO     正在从kugou下载 ——> kugou_Shape of You (Yxng Bane Remix)...
2021-10-20 14:47:37 INFO     无法从kugou下载 ——> kugou_Shape of You (Yxng Bane Remix)...
2021-10-20 14:47:37 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:37 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:37 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:37 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:37 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:37 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:37 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
